asn=1787 	id=6   	Node	tx done from=6 source=6 to=2 destination=2 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=true, remove packet[NODE]
asn=1787 	id=6   	TSCH	Orchestra: parent acked a DAO
asn=1791 	id=6   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=1791 	id=2   	Node	tx done from=2 source=2 to=6 destination=6 numtx=1 seqnum=-1 packet buffer: timeslot: 6 channel offset: 8 acked=true, remove packet[NODE]
asn=1803 	id=1   	RPL	DAO input from 2
asn=1803 	id=1   	Node	Route added to destination node id: 6 through next hop node id: 2 in the routing table of node: 1
asn=1803 	id=1   	RPL	DAO ACK output 241 0
asn=1803 	id=2   	Node	tx done from=2 source=2 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=1803 	id=2   	TSCH	Orchestra: parent acked a DAO
asn=1804 	id=2   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=1804 	id=1   	Node	tx done from=1 source=1 to=2 destination=2 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=true, remove packet[NODE]
asn=1827 	id=1   	RPL	DIO output to -1
asn=1829 	id=2   	RPL	DIO input from 1
asn=1829 	id=3   	RPL	DIO input from 1
asn=1829 	id=4   	RPL	DIO input from 1
asn=2143 	id=6   	RPL	DIO output to -1
asn=2170 	id=2   	RPL	DIO input from 6
asn=2209 	id=2   	RPL	DIO output to -1
asn=2232 	id=1   	RPL	DIO input from 2
asn=2232 	id=5   	RPL	DIO input from 2
asn=2232 	id=6   	RPL	DIO input from 2
asn=2326 	id=7   	Node	scanning on channel=20...[NODE]
asn=2437 	id=3   	RPL	DIO output to -1
asn=2449 	id=1   	RPL	DIO input from 3
asn=2626 	id=7   	Node	scanning on channel=25...[NODE]
asn=2926 	id=7   	Node	scanning on channel=20...[NODE]
asn=2934 	id=4   	RPL	DIO output to -1
asn=2945 	id=1   	RPL	DIO input from 4
asn=3147 	id=6   	RPL	DIO output to -1
asn=3162 	id=2   	RPL	DIO input from 6
asn=3428 	id=7   	Node	scanning on channel=25...[NODE]
asn=3529 	id=7   	Node	scanning on channel=20...[NODE]
asn=3576 	id=7   	Node	add neighbor id=3 [NODE]
asn=3576 	id=7   	TSCH	joined/associated at 35.76 on receiving an EB packet from 3[NODE]
asn=3576 	id=7   	TSCH	Node has joined TSCH in TSCH Associate [NODE]
asn=3576 	id=7   	Node	update time source called [NODE]
asn=3576 	id=7   	TSCH	Orchestra: new time source 3
asn=3576 	id=7   	Node	Add cell in timeslot: 3 channel offset: 0 in slotframe: 3
asn=3576 	id=7   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=3576 	id=7   	Node	Add cell in timeslot: 3 channel offset: 9 in slotframe: 3
asn=3576 	id=7   	RPL	DIS output to -1
asn=3596 	id=3   	Node	add neighbor id=7 [NODE]
asn=3596 	id=3   	RPL	received a DIS from 7
asn=3764 	id=1   	RPL	DIO output to -1
asn=3782 	id=2   	RPL	DIO input from 1
asn=3782 	id=3   	RPL	DIO input from 1
asn=3782 	id=4   	RPL	DIO input from 1
asn=3919 	id=3   	RPL	DIO output to -1
asn=3937 	id=1   	RPL	DIO input from 3
asn=3937 	id=7   	RPL	DIO input from 3
asn=3937 	id=7   	RPL	DIO output to 3
asn=3939 	id=2   	RPL	DIO output to -1
